😀 grinning_face
🩶 grey_heart
🩷 pink_heart
🩸 drop_of_blood
🩹 adhesive_bandage
🩺 stethoscope
🩻 x-ray
🩼 crutch
🪀 yo-yo
🪁 kite
🪂 parachute
🪃 boomerang
🪄 magic_wand
🪅 pinata
🪆 nesting_dolls
🪇 maracas
🪈 flute
🪉 harp
🪏 shovel
🪐 ringed_planet
🪑 chair
🪒 razor
🪓 axe
🪔 diya_lamp
🪕 banjo
🪖 military_helmet
🪗 accordion
🪘 long_drum
🪙 coin
🪚 carpentry_saw
🪛 screwdriver
🪜 ladder
🪝 hook
🪞 mirror
🪟 window
🪠 plunger
🪡 sewing_needle
🪢 knot
🪣 bucket
🪤 mouse_trap
🪥 toothbrush
🪧 placard
🪨 rock
🪩 mirror_ball
🪪 identification_card
🪫 low_battery
🪬 hamsa
🪭 folding_hand_fan
🪮 hair_pick
🪯 khanda
🪰 fly
🪱 worm
🪲 beetle
🪳 cockroach
🪴 potted_plant
🪵 wood
🪶 feather
🪷 lotus
🪸 coral
🪹 empty_nest
🪺 nest_with_eggs
🪻 hyacinth
🪼 jellyfish
🪽 wing
🪾 leafless_tree
🪿 goose
🫀 anatomical_heart
🫁 lungs
🫂 people_hugging
🫃 pregnant_man
🫄 pregnant_person
🫅 person_with_crown
🫆 fingerprint
🫎 moose
🫏 donkey
🫐 blueberries
🫑 bell_pepper
🫒 olive
🫓 flatbread
🫔 tamale
🫕 fondue
🫖 teapot
🫗 pouring_liquid
🫘 beans
🫙 jar
🫚 ginger_root
🫛 pea_pod
🫜 root_vegetable
🫟 splatter
🫠 melting_face
🫡 saluting_face
🫢 face_with_open_eyes_and_hand_over_mouth
🫣 face_with_peeking_eye
🫤 face_with_diagonal_mouth
🫥 dotted_line_face
🫦 biting_lip
🫧 bubbles
🫨 shaking_face
🫩 face_with_bags_under_eyes
🫰 hand_with_index_finger_and_thumb_crossed
🫱 rightwards_hand
🫲 leftwards_hand
🫳 palm_down_hand
🫴 palm_up_hand
🫵 index_pointing_at_the_viewer
🫶 heart_hands
🫷 leftwards_pushing_hand
🫸 rightwards_pushing_hand
☀ black_sun_with_rays
☁ cloud
☂ umbrella
☃ snowman
☄ comet
★ black_star
☆ white_star
☇ lightning
☈ thunderstorm
☉ sun
☊ ascending_node
☋ descending_node
☌ conjunction
☍ opposition
☎ black_telephone
☏ white_telephone
☐ ballot_box
☑ ballot_box_with_check
☒ ballot_box_with_x
☓ saltire
☔ umbrella_with_rain_drops
☕ hot_beverage
☖ white_shogi_piece
☗ black_shogi_piece
☘ shamrock
☙ reversed_rotated_floral_heart_bullet
☚ black_left_pointing_index
☛ black_right_pointing_index
☜ white_left_pointing_index
☝ white_up_pointing_index
☞ white_right_pointing_index
☟ white_down_pointing_index
☠ skull_and_crossbones
☡ caution_sign
☢ radioactive_sign
☣ biohazard_sign
☤ caduceus
☥ ankh
☦ orthodox_cross
☧ chi_rho
☨ cross_of_lorraine
☩ cross_of_jerusalem
☪ star_and_crescent
☫ farsi_symbol
☬ adi_shakti
☭ hammer_and_sickle
☮ peace_symbol
☯ yin_yang
☰ trigram_for_heaven
☱ trigram_for_lake
☲ trigram_for_fire
☳ trigram_for_thunder
☴ trigram_for_wind
☵ trigram_for_water
☶ trigram_for_mountain
☷ trigram_for_earth
☸ wheel_of_dharma
☹ white_frowning_face
☺ white_smiling_face
☻ black_smiling_face
☼ white_sun_with_rays
☽ first_quarter_moon
☾ last_quarter_moon
☿ mercury
♀ female_sign
♁ earth
♂ male_sign
♃ jupiter
♄ saturn
♅ uranus
♆ neptune
♇ pluto
♈ aries
♉ taurus
♊ gemini
♋ cancer
♌ leo
♍ virgo
♎ libra
♏ scorpius
♐ sagittarius
♑ capricorn
♒ aquarius
♓ pisces
♔ white_chess_king
♕ white_chess_queen
♖ white_chess_rook
♗ white_chess_bishop
♘ white_chess_knight
♙ white_chess_pawn
♚ black_chess_king
♛ black_chess_queen
♜ black_chess_rook
♝ black_chess_bishop
♞ black_chess_knight
♟ black_chess_pawn
♠ black_spade_suit
♡ white_heart_suit
♢ white_diamond_suit
♣ black_club_suit
♤ white_spade_suit
♥ black_heart_suit
♦ black_diamond_suit
♧ white_club_suit
♨ hot_springs
♩ quarter_note
♪ eighth_note
♫ beamed_eighth_notes
♬ beamed_sixteenth_notes
♭ music_flat_sign
♮ music_natural_sign
♯ music_sharp_sign
♰ west_syriac_cross
♱ east_syriac_cross
♲ universal_recycling_symbol
♳ recycling_symbol_for_type-1_plastics
♴ recycling_symbol_for_type-2_plastics
♵ recycling_symbol_for_type-3_plastics
♶ recycling_symbol_for_type-4_plastics
♷ recycling_symbol_for_type-5_plastics
♸ recycling_symbol_for_type-6_plastics
♹ recycling_symbol_for_type-7_plastics
♺ recycling_symbol_for_generic_materials
♻ black_universal_recycling_symbol
♼ recycled_paper_symbol
♽ partially-recycled_paper_symbol
♾ permanent_paper_sign
♿ wheelchair_symbol
⚀ die_face-1
⚁ die_face-2
⚂ die_face-3
⚃ die_face-4
⚄ die_face-5
⚅ die_face-6
⚆ white_circle_with_dot_right
⚇ white_circle_with_two_dots
⚈ black_circle_with_white_dot_right
⚉ black_circle_with_two_white_dots
⚊ monogram_for_yang
⚋ monogram_for_yin
⚌ digram_for_greater_yang
⚍ digram_for_lesser_yin
⚎ digram_for_lesser_yang
⚏ digram_for_greater_yin
⚐ white_flag
⚑ black_flag
⚒ hammer_and_pick
⚓ anchor
⚔ crossed_swords
⚕ staff_of_aesculapius
⚖ scales
⚗ alembic
⚘ flower
⚙ gear
⚚ staff_of_hermes
⚛ atom_symbol
⚜ fleur-de-lis
⚝ outlined_white_star
⚞ three_lines_converging_right
⚟ three_lines_converging_left
⚠ warning_sign
⚡ high_voltage_sign
⚢ doubled_female_sign
⚣ doubled_male_sign
⚤ interlocked_female_and_male_sign
⚥ male_and_female_sign
⚦ male_with_stroke_sign
⚧ male_with_stroke_and_male_and_female_sign
⚨ vertical_male_with_stroke_sign
⚩ horizontal_male_with_stroke_sign
⚪ medium_white_circle
⚫ medium_black_circle
⚬ medium_small_white_circle
⚭ marriage_symbol
⚮ divorce_symbol
⚯ unmarried_partnership_symbol
⚰ coffin
⚱ funeral_urn
⚲ neuter
⚳ ceres
⚴ pallas
⚵ juno
⚶ vesta
⚷ chiron
⚸ black_moon_lilith
⚹ sextile
⚺ semisextile
⚻ quincunx
⚼ sesquiquadrate
⚽ soccer_ball
⚾ baseball
⚿ squared_key
⛀ white_draughts_man
⛁ white_draughts_king
⛂ black_draughts_man
⛃ black_draughts_king
⛄ snowman_without_snow
⛅ sun_behind_cloud
⛆ rain
⛇ black_snowman
⛈ thunder_cloud_and_rain
⛉ turned_white_shogi_piece
⛊ turned_black_shogi_piece
⛋ white_diamond_in_square
⛌ crossing_lanes
⛍ disabled_car
⛎ ophiuchus
⛏ pick
⛐ car_sliding
⛑ helmet_with_white_cross
⛒ circled_crossing_lanes
⛓ chains
⛔ no_entry
⛕ alternate_one-way_left_way_traffic
⛖ black_two-way_left_way_traffic
⛗ white_two-way_left_way_traffic
⛘ black_left_lane_merge
⛙ white_left_lane_merge
⛚ drive_slow_sign
⛛ heavy_white_down-pointing_triangle
⛜ left_closed_entry
⛝ squared_saltire
⛞ falling_diagonal_in_white_circle_in_black_square
⛟ black_truck
⛠ restricted_left_entry-1
⛡ restricted_left_entry-2
⛢ astronomical_symbol_for_uranus
⛣ heavy_circle_with_stroke_and_two_dots_above
⛤ pentagram
⛥ right-handed_interlaced_pentagram
⛦ left-handed_interlaced_pentagram
⛧ inverted_pentagram
⛨ black_cross_on_shield
⛩ shinto_shrine
⛪ church
⛫ castle
⛬ historic_site
⛭ gear_without_hub
⛮ gear_with_handles
⛯ map_symbol_for_lighthouse
⛰ mountain
⛱ umbrella_on_ground
⛲ fountain
⛳ flag_in_hole
⛴ ferry
⛵ sailboat
⛶ square_four_corners
⛷ skier
⛸ ice_skate
⛹ person_with_ball
⛺ tent
⛻ japanese_bank_symbol
⛽ fuel_pump
⛾ cup_on_black_square
⛿ white_flag_with_horizontal_middle_black_stripe
✂ black_scissors
✃ lower_blade_scissors
✄ white_scissors
✅ white_heavy_check_mark
✆ telephone_location_sign
✇ tape_drive
✈ airplane
✉ envelope
✊ raised_fist
✋ raised_hand
✌ victory_hand
✍ writing_hand
✎ lower_right_pencil
✏ pencil
✐ upper_right_pencil
✑ white_nib
✒ black_nib
✓ check_mark
✔ heavy_check_mark
✕ multiplication_x
✖ heavy_multiplication_x
✗ ballot_x
✘ heavy_ballot_x
✙ outlined_greek_cross
✚ heavy_greek_cross
✛ open_centre_cross
✜ heavy_open_centre_cross
✝ latin_cross
✞ shadowed_white_latin_cross
✟ outlined_latin_cross
✠ maltese_cross
✡ star_of_david
✢ four_teardrop-spoked_asterisk
✣ four_balloon-spoked_asterisk
✤ heavy_four_balloon-spoked_asterisk
✥ four_club-spoked_asterisk
✦ black_four_pointed_star
✧ white_four_pointed_star
✨ sparkles
✩ stress_outlined_white_star
✪ circled_white_star
✫ open_centre_black_star
✬ black_centre_white_star
✭ outlined_black_star
✮ heavy_outlined_black_star
✯ pinwheel_star
✰ shadowed_white_star
✱ heavy_asterisk
✲ open_centre_asterisk
✳ eight_spoked_asterisk
✴ eight_pointed_black_star
✵ eight_pointed_pinwheel_star
✶ six_pointed_black_star
✷ eight_pointed_rectilinear_black_star
✸ heavy_eight_pointed_rectilinear_black_star
✹ twelve_pointed_black_star
✺ sixteen_pointed_asterisk
✻ teardrop-spoked_asterisk
✼ open_centre_teardrop-spoked_asterisk
✽ heavy_teardrop-spoked_asterisk
✾ six_petalled_black_and_white_florette
✿ black_florette
❀ white_florette
❁ eight_petalled_outlined_black_florette
❂ circled_open_centre_eight_pointed_star
❃ heavy_teardrop-spoked_pinwheel_asterisk
❄ snowflake
❅ tight_trifoliate_snowflake
❆ heavy_chevron_snowflake
❇ sparkle
❈ heavy_sparkle
❉ balloon-spoked_asterisk
❊ eight_teardrop-spoked_propeller_asterisk
❋ heavy_eight_teardrop-spoked_propeller_asterisk
❌ cross_mark
❍ shadowed_white_circle
❎ negative_squared_cross_mark
❏ lower_right_drop-shadowed_white_square
❐ upper_right_drop-shadowed_white_square
❑ lower_right_shadowed_white_square
❒ upper_right_shadowed_white_square
❓ black_question_mark_ornament
❔ white_question_mark_ornament
❕ white_exclamation_mark_ornament
❖ black_diamond_minus_white_x
❗ heavy_exclamation_mark_symbol
❘ light_vertical_bar
❙ medium_vertical_bar
❚ heavy_vertical_bar
❛ heavy_single_turned_comma_quotation_mark_ornament
❜ heavy_single_comma_quotation_mark_ornament
❝ heavy_double_turned_comma_quotation_mark_ornament
❞ heavy_double_comma_quotation_mark_ornament
❟ heavy_low_single_comma_quotation_mark_ornament
❠ heavy_low_double_comma_quotation_mark_ornament
❡ curved_stem_paragraph_sign_ornament
❢ heavy_exclamation_mark_ornament
❣ heavy_heart_exclamation_mark_ornament
❤ heavy_black_heart
❥ rotated_heavy_black_heart_bullet
❦ floral_heart
❧ rotated_floral_heart_bullet
❨ medium_left_parenthesis_ornament
❩ medium_right_parenthesis_ornament
❪ medium_flattened_left_parenthesis_ornament
❫ medium_flattened_right_parenthesis_ornament
❬ medium_left-pointing_angle_bracket_ornament
❭ medium_right-pointing_angle_bracket_ornament
❮ heavy_left-pointing_angle_quotation_mark_ornament
❯ heavy_right-pointing_angle_quotation_mark_ornament
❰ heavy_left-pointing_angle_bracket_ornament
❱ heavy_right-pointing_angle_bracket_ornament
❲ light_left_tortoise_shell_bracket_ornament
❳ light_right_tortoise_shell_bracket_ornament
❴ medium_left_curly_bracket_ornament
❵ medium_right_curly_bracket_ornament
❶ dingbat_negative_circled_digit_one
❷ dingbat_negative_circled_digit_two
❸ dingbat_negative_circled_digit_three
❹ dingbat_negative_circled_digit_four
❺ dingbat_negative_circled_digit_five
❻ dingbat_negative_circled_digit_six
❼ dingbat_negative_circled_digit_seven
❽ dingbat_negative_circled_digit_eight
❾ dingbat_negative_circled_digit_nine
❿ dingbat_negative_circled_number_ten
➀ dingbat_circled_sans-serif_digit_one
➁ dingbat_circled_sans-serif_digit_two
➂ dingbat_circled_sans-serif_digit_three
➃ dingbat_circled_sans-serif_digit_four
➄ dingbat_circled_sans-serif_digit_five
➅ dingbat_circled_sans-serif_digit_six
➆ dingbat_circled_sans-serif_digit_seven
➇ dingbat_circled_sans-serif_digit_eight
➈ dingbat_circled_sans-serif_digit_nine
➉ dingbat_circled_sans-serif_number_ten
➊ dingbat_negative_circled_sans-serif_digit_one
➋ dingbat_negative_circled_sans-serif_digit_two
➌ dingbat_negative_circled_sans-serif_digit_three
➍ dingbat_negative_circled_sans-serif_digit_four
➎ dingbat_negative_circled_sans-serif_digit_five
➏ dingbat_negative_circled_sans-serif_digit_six
➐ dingbat_negative_circled_sans-serif_digit_seven
➑ dingbat_negative_circled_sans-serif_digit_eight
➒ dingbat_negative_circled_sans-serif_digit_nine
➓ dingbat_negative_circled_sans-serif_number_ten
➔ heavy_wide-headed_rightwards_arrow
➕ heavy_plus_sign
➖ heavy_minus_sign
➗ heavy_division_sign
➘ heavy_south_east_arrow
➙ heavy_rightwards_arrow
➚ heavy_north_east_arrow
➛ drafting_point_rightwards_arrow
➜ heavy_round-tipped_rightwards_arrow
➝ triangle-headed_rightwards_arrow
➞ heavy_triangle-headed_rightwards_arrow
➟ dashed_triangle-headed_rightwards_arrow
➠ heavy_dashed_triangle-headed_rightwards_arrow
➡ black_rightwards_arrow
➢ three-d_top-lighted_rightwards_arrowhead
➣ three-d_bottom-lighted_rightwards_arrowhead
➤ black_rightwards_arrowhead
➥ heavy_black_curved_downwards_and_rightwards_arrow
➦ heavy_black_curved_upwards_and_rightwards_arrow
➧ squat_black_rightwards_arrow
➨ heavy_concave-pointed_black_rightwards_arrow
➩ right-shaded_white_rightwards_arrow
➪ left-shaded_white_rightwards_arrow
➫ back-tilted_shadowed_white_rightwards_arrow
➬ front-tilted_shadowed_white_rightwards_arrow
➭ heavy_lower_right-shadowed_white_rightwards_arrow
➮ heavy_upper_right-shadowed_white_rightwards_arrow
➯ notched_lower_right-shadowed_white_rightwards_arrow
➰ curly_loop
